JOB_NAME;SALARY;POSTED_DATE_AT;DESCRIPTION;SOURCE_PICTURE
Nhân Viên Kế Toán Tổng Hợp (Lương 15 - 20 Triệu);15 - 20 triệu;05/03/2024;- Báo cáo thuế định kỳ - Kiểm tra đối chiếu số liệu, theo dõi công nợ. - Lập báo cáo tài chính theo quý, năm - Tham gia kiểm kê tài sản. - Thống kê tổng hợp số liệu kế toán khi có yêu cầu. - Lưu trữ hồ dữ liệu hồ sơ. - Tham gia làm hồ sơ dự thầu, phát triển thị trường. - Tiếp đối tác cùng Trưởng phòng kỹ thuật khi có yêu cầu. - Thống kê giải trình khi có yêu cầu (chi cục thuế, ngân hàng, ban giám đốc,…);https://cdn1.vieclam24h.vn/images/employer_avatar/2023/12/05/Screenshot 2023-12-05 103038_170174707353.png
Kế Toán Tổng Hợp - Đi Làm Ngay - Ưu Tiên Ứng Viên Khu Vực Gia Lâm, Hà Nội;14 - 20 triệu;06/03/2024;- Hạch toán chứng từ mua hàng - Hạch toán lương - Làm hồ sơ thanh toán ngân hàng và hồ sơ vay vốn - Hạch toán các món chi phí được giao - Theo dõi hàng tồn kho - Báo cáo tuần, tháng, năm theo yêu cầu của ban lãnh đạo - Công việc cụ thể trao đổi khi phỏng vấn;https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2022/10/11/images/166545205124.png
Nhân Viên Nữ Kế Toán - Đi Làm Ngay (Làm Tại Tân Bình);10 - 15 triệu;08/03/2024;"- Thực hiện hạch toán nhập, xuất hàng, xuất hóa đơn GTGT, theo dõi sổ sách kế toán; - Thực hiện hạch toán và xử lý số liệu đối với các nghiệp vụ kế toán trong Công ty; - Hỗ trợ, phối hợp với các bộ phận liên quan trong Công ty nhằm đạt hiệu quả cao trong công việc; - Thống kê và tổng hợp số liệu kế toán khi có yêu cầu; - Thực hiện các công việc tài chính, kế toán khác theo yêu cầu của Trưởng phòng Kế toán/ Ban Giám đốc. - Bảo mật các số liệu kế toán. - Công việc sẽ được trao đổi chi tiết nhất tại buổi phỏng vấn. - Địa chỉ làm việc: 18 Nguyễn Thế Lộc, Phường 12, Quận Tân Bình, TP. Hồ Chí Minh";https://cdn1.vieclam24h.vn/images/default/2023/10/16/z4788737731789_71bf0c0e0c4ab4be77c7815776c38aa8_169744763328.jpg
Nhân Viên Kế Toán;8 - 10 triệu;24/02/2024;Hàng ngày lên kế hoạch đòi nợ, nhắc nợ khách hàng. Lập bảng đối chiếu công nợ với khách hàng. Cập nhật, vô sổ công nợ kịp thời, tránh để sót. Kiểm tra chi tiết công nợ của từng khách hàng, thời hạn thanh toán, số tiền đã quá hạn và báo cáo cho quản lý. Lập hợp đồng thầu, hợp đồng mua bán, hợp đồng nguyên tắc. Làm biên bản nghiệm thu, thanh lý, mẫu giấy thanh toán để khách hàng chuyển tiền. Theo dõi việc gửi, nhận và lưu giữ các loại hợp đồng. Lập bảng báo giá kịp thời cho khách hàng. Lưu giữ đầy đủ các bảng báo giá đã gởi cho khách hàng. Cung cấp các thông tin cho bộ phận kế toán liên quan. Kết hợp cùng bộ phận làm thầu để làm hồ sơ tham dự thầu. Nghiên cứu, chọn lọc các mặt hàng công ty có thể đáp ứng được để lên danh mục tham gia đấu thầu. Trên cơ sở đó liên hệ nhà cung cấp để xin ủy quyền bán hàng đối với các mặt hàng có yêu cầu về ủy quyền bán hàng. Chuẩn bị tài liệu, giấy tờ pháp lý liên quan đến sản phẩm đấu thầu. Thực hiện các công việc nội bộ khác theo yêu cầu của Kế toán trưởng.;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/c0b68a39b1e43c2c0767266323734c29_1521768444_nam_hng_vit.png
Nhân Viên Kế Toán Tổng Hợp;8 - 12 triệu;02/03/2024;-Nhập xuất HĐ bán ra theo DS kế toán bán hàng, hàng ngày -Tổ chức công đoàn cơ sở, theo dõi đóng BH cho người lao động của Cty -Theo dõi giải ngân, lấy chứng từ ngân hàng - Các công việc chi tiết trao đổi thêm khi phỏng vấn. Làm việc tại Phú Thọ;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/12/14/Thiết kế chưa có tên (100)_170252336012.png
Kế Toán Trưởng Kiêm Hành Chính;20 - 30 triệu;07/03/2024;- Kiểm soát và soát xét quá trình ghi sổ kế toán - Có trách nhiệm chuẩn bị ngân sách và dự báo, thực hiện phân tích chênh lệch ngân sách. - Lập dự toán (định giá) và kiểm soát chi phí sản phẩm - Đảm bảo tuân thủ luật thuế bao gồm cả việc chuẩn bị khai thuế - Đảm bảo kiểm soát hàng tồn kho và định giá công ty, đối chiếu hàng tồn kho, nhập hàng tồn kho, theo dõi lãi/lỗ hàng tồn kho. - Cung cấp việc lập và nộp đầy đủ, kịp thời tất cả các báo cáo kế toán và báo cáo tài chính, báo cáo thuế. - Đảm bảo rằng các thủ tục và kiểm soát kịp thời được thực hiện cho bộ phận kế toán và là hướng dẫn cho nhân viên trong bộ phận. - Đảm bảo tất cả hồ sơ kế toán và báo cáo tài chính tuân thủ các chuẩn mực do công ty đặt ra và tuân thủ hệ thống kế toán thông thường của công ty - Hỗ trợ các thủ tục XNK + Phụ trách các công tác hành chính;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/03/09/e3d6ad082a0cf752ae1d_167832619494.jpg
Nhân Viên Kế Toán;9 - 15 triệu;26/02/2024;- Hàng ngày kiểm tra số liệu xuất hang của kho, duyệt phiếu xuất hàng, doanh thu trên phần mềm ERP - Kiểm tra, đối chiếu số lượng hàng bán, quyết toán với khách hàng theo đợt đồng thời xuất hóa đơn giá trị gia tăng - Kiểm tra, theo dõi hang thanh lý bán ra - Kiểm tra, đối chiếu số liệu với bên vận chuyển - Theo dõi tình hình công nợ khách hang kịp thời nhắc nợ với nội cần kinh doanh - Định khoản và phân loại chứng từ theo từng nghiệp vụ kinh tế phát sinh. - Kiểm tra hoa hồng cho nhân viên nghiệp vụ mỗi tháng và cuối năm - Thực hiện các công việc chốt sổ mỗi tháng: doanh thu bán hàng, vận chuyển - Sắp xếp,bảo quản và lưu trữ chứng từ - Làm các công việc khác theo sự phân công của quản lý;https://cdn1.vieclam24h.vn/images/default/2020/11/13/images/img_vieclam24h_vn_160526334642.png
Nhân Viên Kế Toán Tổng Hợp;10 - 20 triệu;29/02/2024;- Trực điện thoại - Trả lời thông tin khách hàng khi chạy quảng cáo - Ghi chép đơn hàng, tên KH, SDT - Hỏi thăm về dịch vụ lắp đặt sau khi bàn giao công trình - Theo dõi công nợ khách hàng - Theo dõi lương, thưởng, phạt nhân viên - Ghi chép thu chi các công trình - Đặt vé máy bay, khách sạn cho nhân viên khi có yêu cầu - Thời gian: 8h – 17h từ thứ 2 – thứ 7 - Địa điểm làm việc: Số 7-BT3, Yên xá , Tân Triều, Thanh Trì, Hà Nội;https://cdn1.vieclam24h.vn/images/default/2022/08/22/images/166115668218.jpeg
Nhân Viên Kế Toán Tổng Hợp;13 - 15 triệu;29/02/2024;Theo dõi công nợ phải thu, phải trả Hạch toán kế toán trên phần mềm kế toán loại hình Cty sản xuất (chỉ hạch toán kế toán phục vụ cho thuế) Làm báo cáo thuế định kỳ. Làm Quyết toán thuế năm. Làm hồ sơ BHXH (1 tháng chỉ làm vài hồ sơ) Các công việc cụ thể sẽ được hướng dẫn làm. Thời gian làm việc : 7h30 - 16h30 từ thứ 2 đến thứ 7. Làm việc tại: Văn phòng: 426 Luỹ Bán Bích, P Hoà Thạnh, Quận Tân Phú, TP HCM;/img/vieclam24h_logo_customer.jpg
Nữ Kế Toán Nội Bộ Không Yêu Cầu Kinh Nghiệm;7 - 10 triệu;07/03/2024;-      Theo dõi và cập nhật thông tin khách hàng, tiếp nhận và xử lý đơn hàng -      Theo dõi, báo cáo và thu hồi công nợ -      Theo dõi các chứng từ nội bộ thu, chi, nhập, xuất. -       Báo giá khách hàng, làm hợp đồng. -       Thực hiện các công việc khác liên quan theo sự chỉ đạo của cấp trên;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/dfa7db272500aea7b1b748435d60989e_6114367_vieclam24h_1600055619.jpeg
