Nhân Viên Marketing;15 - 25 triệu;04/03/2024;- Phát triển và triển khai các chiến lược marketing tổng thể để tăng cường nhận diện thương hiệu và mở rộng thị phần. - Quản lý và tối ưu hóa website công ty, bao gồm cập nhật nội dung và tối ưu SEO. - Thiết kế và thực hiện các chiến dịch quảng cáo trực tuyến (bao gồm Google AdWords, Facebook Ads). - Tạo lập và quản lý nội dung cho các nền tảng mạng xã hội của công ty. - Phân tích dữ liệu thị trường và báo cáo hiệu suất các chiến dịch marketing. - Tổ chức và tham gia vào các sự kiện, hội chợ để quảng bá sản phẩm.;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/d8dfbb91bb3aa88c8143954e351ec186_1555992453_song_hng.png
Nhân Viên Kỹ Thuật;8 - 12 triệu;26/02/2024;- Thi công lắp đặt hệ thống an ninh, Camera, máy chấm công, hệ thống kiểm soát cửa, hệ thống bãi xe - Hướng dẫn khách hàng sử dụng hệ thống, sử dụng phần mềm. - Hỗ trợ khách hàng qua Teamviewer - Văn phòng: Số 9, ngõ 3 / 2 Phố Nhân Hòa, Nhân Chính, Thanh Xuân, Hà Nội - Địa điểm làm việc: Công tác trong thành phố hà nội và các tỉnh theo yêu cầu.;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/3455f143bb61addd92b3e7534fcd9309_6185281_vieclam24h_1601007114.png
Nhân Viên Kỹ Thuật Điện Tử;10 - 20 triệu;26/02/2024;- Nhân viên sửa chữa, bảo dưỡng, lắp dặt các thiết bị Điện tử - Viễn thông. - Đo test, QC các sản phẩm/thiết bị điện tử Công ty đang kinh doanh, sản xuất - Nghiên cứu các Sản phẩm / Công nghệ mới theo định hướng phát triển của Công ty.;https://cdn1.vieclam24h.vn/tvn/images/default/2021/10/01/images/163306251590.png
Nhân Viên Sale Thị Trường Tn Upto 10 Tr;10 - 20 triệu;28/02/2024;- Triển khai các kế hoạch kinh doanh theo nhóm của mình, chủ động khai thác các tệp khách hàng khác nhau. -Tiếp cận khách hàng các hộ dân, đơn vị, doanh nghiệp.....để giới thiệu và tư vấn về sản phẩm của công ty: Các gói dịch vụ về truyền hình cap, internet... -Nghiên cứu thị trường, phương thức hoạt động của đối thủ, đề xuất các giải pháp tối ưu trong hoạt động phủ sóng thị trường, bán hàng diện rộng, các thứ khai thác tiềm năng. - Thực hiện báo cáo kết quả công việc hàng ngày, hàng tuần, tháng cho quản lý trực tiếp.;https://cdn1.vieclam24h.vn/images/default/2023/09/07/logo_169405747665.jpg
Nhân Viên Lập Trình Phần Mềm - Có Kinh Nghiệm 1 Năm Trở Lên;12 - 30 triệu;01/03/2024;+ Nhân viên phát triển phần mềm theo từng dự án. + Làm việc trong các team sau: Team Winform (C#) Team Web (APS.net) Team App (Flutter).;https://cdn1.vieclam24h.vn/company-logo-medium/052020/76LELBiSPMTRlb9O6AboSrrMgoTSwyoszI9IbnAX.png
Nhân Viên Trực Giám Sát Hệ Thống Mạng (Noc);6 - 10 triệu;27/02/2024;-  Trực 3 ca 4 kíp 24/7: Theo dõi giám sát hệ thống mạng SCTVNet. -  Trực giám sát tại phòng máy Headend. Hỗ trợ Chi nhánh xử lý sự cố. -  Tiếp nhận thông tin từ các đối tác SCTV, thông báo cho các bộ phận có liên quan. -  Phối hợp với Chi nhánh, Phòng Kỹ thuật điều phối xử lý các sự cố liên quan tới hệ thống truyền dẫn cáp quang. - Có thể làm ngoài giờ nếu công việc yêu cầu.;https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2017/08/11/1502416358_logo_SCTV_1.jpg
Nhân Viên Kinh Doanh Phần Cứng;8 - 30 triệu;07/03/2024;– Thực hiện mục tiêu kinh doanh gồm các chỉ tiêu KPIs được giao gồm Doanh thu/Doanh số theo phân khúc khách hàng được phân công. – Trực tiếp tư vấn các sản phẩm dịch vụ CNTT phù hợp với nhu cầu khách hàng và có sự hỗ trợ của đội ngũ Presales, PM sản phẩm... Các sản phẩm của Nhất Tiến Chung bao gồm hạ tầng phần cứng và giải pháp của các hãng như: Nvidia/Supermicro/HPE/Dell/Q.Nap/Infortrend… – Thực hiện các báo giá, xây dựng phương án kinh doanh, lập hợp đồng theo quy định của Công ty – Làm việc với khách hàng, đối tác và các bộ phận liên quan trong Công ty để triển khai đúng hợp đồng và chi phí triển khai dự án theo phương án kinh doanh. – Chăm sóc và phát triển mối quan hệ thân thiết với khách hàng và tạo dựng được những mối quan hệ mới. – Thực hiện các công việc khác theo yêu cầu của Người quản lý trực tiếp hoặc Ban lãnh đạo.;https://cdn1.vieclam24h.vn/images/default/2022/07/22/images/165848291314.png
Trưởng Phòng Tích Hợp Hệ Thống Elv;15 - 30 triệu;05/03/2024;- Quản lý và chịu trách nhiệm trước Ban lãnh đạo về toàn bộ hoạt động của hệ thống mạng, hệ thống thông tin, hệ thống máy chủ và dữ liệu, hệ thống điện nhẹ của Công ty và các dự án. - Là người đại diện cho Công ty để giải quyết các công việc liên quan đến tích hợp hệ thống CNTT và điện nhẹ các đơn vị bên ngoài khi cần thiết. - Xây dựng kế hoạch dài hạn để quản lý và phát triển hệ thống CNTT và điện nhẹ toàn công ty. - Hoạch định nguồn lực vận hành cho bộ phận tích hợp hệ thống điện nhẹ trên phạm vi công ty và các dự án. - Quản lý và điều phối nhằm duy trì hoạt động, xử lý các sự cố của hệ thống trong công ty và các dự án. - Quản lý hạ tầng CNTT của công ty và các dự án triển khai. - Quản lý và điều phối hỗ trợ các đơn vị triển khai dự án cho khách hàng về hệ thống mạng, tích hợp hệ thống, an ninh bảo mật. - Chịu trách nhiệm về an ninh thông tin và an toàn dữ liệu trong Công ty. - Phân công công việc và đảm bảo phòng tích hợp hệ thống hoạt động tốt, là bộ phận hỗ trợ hiệu quả, tạo ra môi trường làm việc ổn định, chuyên nghiệp cho bộ phận quản lý cũng như toàn Công ty. - Phối hợp hiệu quả với các bộ phận/ban khác thực hiện các công việc được BLĐ giao. - Nghiên cứu ứng dụng các giải pháp CNTT nói riêng và điện nhẹ nói chung phù hợp và mang lại hiệu quả cao trong hoạt động của công ty.;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/03/05/Screenshot 2024-03-05 115459_170961458093.png
Kiến Trúc Sư Phần Mềm Và Ứng Dụng Thiết Bị Di Động (App Web);9 - 15 triệu;02/03/2024;1. Tìm hiểu và hiểu rõ yêu cầu của khách hàng và chủ đầu tư về sản phẩm phần mềm app web. 2. Phát triển và thiết lập viễn cảnh, bản mô tả yêu cầu, và bản thiết kế chức năng và giao diện của sản phẩm. 3. Tạo ra các bản mẫu, bản vẽ kỹ thuật, và bản mô tả thiết kế chi tiết cho đội ngũ phát triển. 4. Xác định và giải quyết các vấn đề kỹ thuật phức tạp trong quá trình phát triển sản phẩm, bao gồm cơ sở hạ tầng IT và tính năng kỹ thuật. 5. Làm việc chặt chẽ với các thành viên trong đội ngũ phát triển để đảm bảo việc triển khai sản phẩm đúng theo yêu cầu và tiến độ. 6. Đảm bảo sự linh hoạt và thích ứng nhanh chóng với các thay đổi yêu cầu hoặc yêu cầu mới từ phía khách hàng. 7. Theo dõi và đánh giá hiệu suất của sản phẩm, và đề xuất các cải tiến và tối ưu hóa khi cần thiết. 8. Duy trì và nâng cấp kiến thức về công nghệ và xu hướng mới trong lĩnh vực phần mềm và ứng dụng di động;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/59d2029d1beba_1506935453.jpg
Nhân Viên Kinh Doanh Thu Nhập 10-20Tr - (Fpt Đà Nẵng);10 - 20 triệu;17/02/2024;- Khảo sát và tìm kiếm khách hàng trong khu vực Đà Nẵng và toàn quốc về các sản phẩm dịch vụ viễn thông: Internet wifi cáp quang, truyền hình FPT Play, camera FPT thông qua các kênh như: Online (Facebook Ads, Google ads, zalo Ads,...), Offline (survey door to door thị trường, CSKH, Telesale,...) - Nắm bắt, thu thập thông tin, nhu cầu của khách hàng sử dụng dịch vụ viễn thông để tiến hành đàm phán thuyết phục khách hàng sử dụng sản phẩm và dịch vụ công ty cung cấp. - Lên kế hoạch triển khai bán hàng và xây dựng data KH. - Trực tiếp giới thiệu sản phẩm, đàm phán, thuyết phục và tiến hành ký kết các thủ tục hợp đồng với khách hàng. - Báo cáo doanh số theo định kỳ hoặc theo yêu cầu của Quản lý. - Chi tiết sẽ trao đổi trong buổi phỏng vấn;https://cdn1.vieclam24h.vn/company-logo-medium/022020/4E5V6o15ua3Rd4epDSlfJ2hYi6cor80RHtSiekVG.jpeg
