Nhân Viên Kỹ Thuật May;7 - 15 triệu;07/03/2024;- Tạo mã sản phẩm - Biết tính định mức sản phẩm - Chi tiết công việc trao đổi khi phỏng vấn trực tiếp;https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/e30c3445bd17197fb13f7eb9fef8f9a9_5a93d66d85dda_1519638125.gif
Nhân Viên Cad Operator Lương 15 - 25Tr / Tháng;15 - 25 triệu;08/03/2024;- Thiết kế -Triển khai các bản vẽ chi tiết kỹ thuật thi công dự án, - Lập và triển khai các bản vẽ biện pháp thi công - Sử dụng các phần mềm aotu Cad, sketchup, revit...;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/10/30/download (1)_169864758234.png
Nhân Viên QS Ngành Nội Thất;10 - 20 triệu;08/03/2024;Bóc tách khối lượng nội thất. Báo giá dự thầu. Làm hồ sơ thanh toán quyết toán. Lập hồ sơ chất lượng (Hồ sơ nghiệm thu vật liệu, công việc, đưa vào sử dụng ). Tính toán khối lượng thầu phụ, tính khối thi công. Mua vật tư thi công. Làm tiến độ thi công. Báo cáo sản lượng thi công. Thực hiện các công việc khác do Ban Giám đốc yêu cầu.;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/08/07/logo-an-phat-cuong_169139098247.png
Họa Viên Triển Khai Nội Thất 2D Thu Nhập Từ 12 - 15 Triệu (Quận 7);12 - 15 triệu;07/03/2024;- Khảo sát, đo đạc khảo sát thực tế công trình. - Triển khai bản vẽ chi tiết 2D - Làm bản vẽ hoàn công. - Lên bản vẽ mặt bằng, mặt đứng và chi tiết công trình theo hướng dẫn của quản lí Địa điểm làm việc: Quận 7;https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2022/07/20/images/165828994194.jpeg
Kỹ Sư Thiết Kế Thu Nhập 12-15Tr;12 - 15 triệu;07/03/2024;Khảo sát, nghiên cứu, lập đề xuất phương án thiết kế các hạng mục nhôm kính như : Cửa nhôm kính các loại, vách dựng, mặt dựng thông tầng cho công trình. Triển khai thiết kế tổng thể và chi tiết các hạng mục nhôm kính. Tham gia chuẩn bị hồ sơ tài liệu cho các gói thầu dự án và tham gia đấu thầu dự án. Thực hiện các công việc liên quan đến thiết kế bản vẽ kỹ thuật, bản vẽ gia công, bản vẽ thi công hệ thống nhôm kính. Các công việc khác theo yêu cầu của Phòng kỹ thuật và Ban Giám đốc Công ty.;/img/vieclam24h_logo_customer.jpg
Kỹ Sư Thiết Kế Khu Vực Hải Phòng;9 - 15 triệu;07/03/2024;Làm bản vẽ 2D và 3D cho các chi tiết, kết cấu thép. Bóc tách danh sách vật tư, danh sách chi tiết gia công, lên phương án công nghệ sơ bộ. In, trình duyệt bản vẽ chế tạo, partlist chi tiết, phân phối và lưu trữ hồ sơ kỹ thuật. Báo cáo công việc và thực hiện các chỉ đạo khác của cấp trên. Công việc cụ thể hơn sẽ được trao đổi khi phỏng vấn.;https://cdn1.vieclam24h.vn/images/employer_avatar/2022/08/09/images/166000882754.jpeg
Nhân Viên Thiết Kế In Vải Chuyển Nhiệt;10 - 25 triệu;07/03/2024;- Thiết kế đồ họa hoa văn in trên vải như áo thun,drap khăn giường,mẫu đầm, sơ mi, áo dài, áo dài cách tân, thời trang trẻ em, khăn thời trang.... bằng phần mềm Ai, Photoshop theo hình mẫu khách gởi. - Vẽ lại, đồ họa lại các mẫu khách gởi. - Test mẫu, test màu in lên vải. - Dàn sơ đồ in bán thành phẩm... - Các công việc theo yêu cầu của Giám Đốc;https://cdn1.vieclam24h.vn/images/employer_avatar/2022/08/03/images/165949080761.jpeg
Họa Viên Kiến Trúc Nhật Bản - Q. Gò Vấp;6.5 - 20 triệu;06/03/2024;"-  Gia công bản vẽ cho các đối tác Nhật Bản, sử dụng chương trình chuyên dụng để xử lý bản vẽ kiến trúc; - Thống kê dữ liệu trong bản vẽ kiến trúc, kết cấu; - Sử dụng phần mềm chuyên dụng để nhập kiến trúc, thiết bị và xuất ra file cad 2D/PDF; - Chỉnh sữa bản vẽ cad 2D cho phù hợp với yêu cầu.";https://cdn1.vieclam24h.vn/images/default/2024/03/06/DT_logo_OK white_170970037824.png
Nhân Viên Thiết Kế Kết Cấu (Đi Làm Ngay);14 - 18 triệu;06/03/2024;Lên phương án kết cấu, lập mô hình tính toán các dự án thiết kế dân dụng và công nghiệp. Triển khai bản vẽ kết cấu, thuyết minh tính toán kết cấu. Xử lý các yêu cầu thay đổi trong quá trình thiết kế, đảm bảo hồ sơ bàn giao đúng pháp luật – đúng tiến độ - đúng yêu cầu.;https://cdn1.vieclam24h.vn/images/default/2023/05/12/logo Doan Luc_168385486749.jpg
Kỹ Sư QA;10 - 15 triệu;06/03/2024;Nắm kiểm tra và theo dõi khối lượng, hồ sơ chất lượng công trình và các hợp đồng thi công thầu phụ, tổ đội. Thực hiện kiểm soát chất lượng thi công công trường Kiểm soát vận hành hệ thống chất lượng theo quy định của công ty. Lập, kiểm tra bảng vẽ Shop drawing cho các dự án. Kiểm tra, lưu trữ hồ sơ các dự án thi công theo quy định. Kiểm tra và xem sét kế hoạch vật tư cho các dự án. Thực hiện các công việc khác theo sự phân công của Trưởng phòng và Ban Giám đốc.;https://cdn1.vieclam24h.vn/images/default/2023/05/12/logo Doan Luc_168385486749.jpg
Nhân Viên Thiết Kế 3D Max;10 - 12 triệu;06/03/2024;-Triển khai thiết kế phối cảnh 3 D ,bản vẽ chi tiết thi công , phối hợp làm việc với khách hàng để chốt pương án thi công hạng mục ốp lát đá hoa cương . -Phối hợp với các bộ phận trong công tác thiết kế và thi công -Công việc của họa viên kiến trúc làm việc với các bản vẽ kiến trúc và bản vẽ công trình , bóc tách khối lượng công trình dự toán báo giá .;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/03/05/- (1)_170962329954.png
Nhân Viên Thiết Kế Nội Thất (3D, 2D);10 - 15 triệu;01/03/2024;-        Nhận yêu cầu thiết kế, khảo sát hiện trạng -        Thiết kế sơ phác, phương án cho công trình -        Thể hiện và hoàn thiện các hồ sơ thiết kế, bản vẽ cho từng giai đoạn công trình -        Hoàn thiện hồ sơ công trình: scan, photo, in ấn, đóng cuốn... -        Tổ chức lưu trữ và làm thư viện;https://cdn1.vieclam24h.vn/images/default/2024/03/01/z4464061822412_7fdcd22edee0231a3a92ebb1714bd460_170928581116.jpg
Nhân Viên Thiết Kế Nội Thất;15 - 25 triệu;29/02/2024;"-         Tư vấn ý tưởng thiết kế các dự án nội thất chuyên về shop, showroom, nhà ở, văn phòng, resort… -         Khảo sát đo đạc hiện trạng công trình thực tế,; thiết kế 3D concept, tư vấn vật liệu và thuyết trình ý tưởng trực tiếp với khách hàng. -         Triển khai chi tiết bản vẽ nội thất và kiến trúc 2D các thề loại công trình: Shop, Showroom, nhà hàng, văn phòng, resort, nhà ở, … -         Kiểm tra hồ sơ triển khai thi công, kiểm tra công tác thi công và chịu trách nhiệm về thẩm mỹ cho dự án mình phụ trách. -         Chịu sự điều phối công việc của cấp quản lý trực tiếp";https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/1cf9f43699972402c79d9b3a695f7867_5ad704c3505a4_1524040899.png
